Company,Amount ₿,Select,Country
Bitfarms Limited	,"₿ 1,114 ",Public,CA
Seetee AS,"₿ 1,170",Public,NO
Voyager Digital LTD ,"₿ 12,260",Public,CA
"Riot Blockchain, Inc. ",₿ 2000,Public,US
Osprey Bitcoin Trust	,"₿ 2,820",ETF Like,US
NEXON Co. Ltd ,"₿ 1,717	",Public,JP
Evolve Bitcoin ETF	,"₿ 1,663",ETF Like,CA
Net Holding Anonim Sirketi,₿ 3,Public,TR
Hut 8 Mining Corp	,"₿ 3,522",Public,CA
Galaxy Digital Holdings	,"₿ 16,400",Public,US
Bitcoin Group SE ,"₿ 3,947",Public,DE
"Coinbase Global, Inc.","₿ 4,482",Public,US
VanEck Vectors Bitcoin ETN,"₿ 3,950",ETF Like,DE
CI Galaxy Bitcoin Fund	,"₿ 3,248",ETF Like,CA
Marathon Digital Holdings,"₿ 5,518",Public,US
Grayscale Digital Large Cap Fund,"₿ 7,346",ETF Like,US
21Shares AG	,"₿ 5,973",ETF Like,CH
Square Inc. ,"₿ 8, 027",Public,US
Ninepoint Bitcoin Trust	,"₿ 2,736",ETF Like,CA
Stone Ridge Holdings Group,"₿ 10,000",Private,US
Bitwise 10 Crypto Index Fund,"₿ 10,784",ETF Like,US
3iQ CoinShares Bitcoin ETF,"₿ 21,237",ETF Like,CA
3iQ The Bitcoin Fund	,"₿ 15,396",ETF Like,CA
Purpose Bitcoin ETF	,"₿ 19,692",ETF Like,CA
The Tezos Foundation	,"₿ 1,176",Private,CH
"Phunware, Inc.	",₿ 25.8,Public,US
ETC Group Bitcoin ETP	,"₿ 17,976",ETF Like,DE
"Tesla, Inc. ","₿ 42,902",Public,US
MOGO Financing	,₿ 18,Public,CA
FRMO Corp.	,₿ 63	,Public,US
CoinShares / XBT Provider	,"₿ 48,466",ETF Like,CH
BTCS Inc.	,₿ 90,Public,US
Neptune Digital Assets	,₿ 100,Public,CA
MicroStrategy Inc.,"₿ 105,085",Public,US
Brooker Group's BROOK,₿ 122	,Public,TH
Banxa Holdings Inc	,₿ 136	,Public,CA
CleanSpark Inc	,₿ 96,Public,US
Fortress Blockchain	,₿ 168,Public,CA
Block.one	,"₿ 140,000	",Private,HK
Digihost Technology Inc.	,₿ 105,Public,CA
DigitalX	,₿ 216,Public,AU
DMG Blockchain Solutions Inc.,₿ 250,Public,CA
Advanced Bitcoin Technologies AG,₿ 254	,Public,DE
BIGG Digital Assets Inc.	,₿ 788,Public,CA
Hive Blockchain	,"₿ 1,033",Public,CA
Cypherpunk Holdings Inc.	,₿ 350,Public,CA
"Bit Digital, Inc.	",₿ 581,Public,US
Grayscale Bitcoin Trust	,"₿ 654,600",ETF Like,US
Argo Blockchain PLC	,"₿ 1,108 ",Public,GB
Meitu	,₿ 765,Public,HK
"MercadoLibre, Inc.",₿ 150,Public,AR
Lisk Foundation,"₿ 1,898",Private,CH
Massachusetts Mutual,"₿ 3,500",Private,US